,index,ModifiedDateTime,FRP
185,3,2016-06-01,0.0
186,3,2016-07-01,0.0
187,3,2016-08-01,0.0
188,3,2016-09-01,0.0
189,3,2016-10-01,0.0
190,3,2016-11-01,0.0
191,3,2016-12-01,0.0
192,3,2017-01-01,0.0
193,3,2017-02-01,0.0
194,3,2017-03-01,0.0
195,3,2017-04-01,0.0
196,3,2017-05-01,14.1
197,3,2017-06-01,0.0
198,3,2017-07-01,0.0
199,3,2017-08-01,0.0
200,3,2017-09-01,0.0
201,3,2017-10-01,0.0
202,3,2017-11-01,0.0
203,3,2017-12-01,0.0
204,3,2018-01-01,0.0
205,3,2018-02-01,0.0
206,3,2018-03-01,0.0
207,3,2018-04-01,0.0
208,3,2018-05-01,0.0
209,3,2018-06-01,0.0
210,3,2018-07-01,0.0
211,3,2018-08-01,0.0
212,3,2018-09-01,0.0
213,3,2018-10-01,7.2
214,3,2018-11-01,25.4
215,3,2018-12-01,0.0
216,3,2019-01-01,0.0
217,3,2019-02-01,0.0
218,3,2019-03-01,0.0
219,3,2019-04-01,0.0
220,3,2019-05-01,0.0
221,3,2019-06-01,25.2
222,3,2019-07-01,0.0
223,3,2019-08-01,0.0
224,3,2019-09-01,0.0
225,3,2019-10-01,0.0
226,3,2019-11-01,0.0
227,3,2019-12-01,0.0
228,3,2020-01-01,0.0
229,3,2020-02-01,0.0
230,3,2020-03-01,0.0
231,3,2020-04-01,0.0
232,3,2020-05-01,0.0
233,3,2020-06-01,0.0
234,3,2020-07-01,0.0
235,3,2020-08-01,0.0
236,3,2020-09-01,8.1
237,3,2020-10-01,0.0
238,3,2020-11-01,35.35
239,3,2020-12-01,0.0
240,3,2021-01-01,16.5
241,3,2021-02-01,0.0
242,3,2021-03-01,0.0
243,3,2021-04-01,0.0
244,3,2021-05-01,14.8
245,3,2021-06-01,0.0
246,3,2021-07-01,0.0
247,3,2021-08-01,0.0
248,3,2021-09-01,0.0
249,3,2021-10-01,0.0
250,3,2021-11-01,0.0
251,3,2021-12-01,0.0
252,4,2015-01-01,0.0
253,4,2015-02-01,16.2
254,4,2015-03-01,0.0
255,4,2015-04-01,0.0
256,4,2015-05-01,0.0
257,4,2015-06-01,13.9
258,4,2015-07-01,0.0
259,4,2015-08-01,0.0
260,4,2015-09-01,0.0
261,4,2015-10-01,0.0
262,4,2015-11-01,0.0
263,4,2015-12-01,0.0
264,4,2016-01-01,0.0
265,4,2016-02-01,0.0
266,4,2016-03-01,0.0
267,4,2016-04-01,0.0
268,4,2016-05-01,0.0
269,4,2016-06-01,0.0
270,4,2016-07-01,0.0
271,4,2016-08-01,0.0
272,4,2016-09-01,0.0
273,4,2016-10-01,8.575
274,4,2016-11-01,0.0
275,4,2016-12-01,0.0
276,4,2017-01-01,0.0
277,4,2017-02-01,0.0
278,4,2017-03-01,0.0
279,4,2017-04-01,0.0
280,4,2017-05-01,0.0
281,4,2017-06-01,0.0
282,4,2017-07-01,0.0
283,4,2017-08-01,0.0
284,4,2017-09-01,0.0
285,4,2017-10-01,8.5
286,4,2017-11-01,0.0
287,4,2017-12-01,0.0
288,4,2018-01-01,0.0
289,4,2018-02-01,9.7
290,4,2018-03-01,7.1
291,4,2018-04-01,0.0
292,4,2018-05-01,0.0
293,4,2018-06-01,10.2
294,4,2018-07-01,0.0
295,4,2018-08-01,0.0
296,4,2018-09-01,0.0
297,4,2018-10-01,12.5
298,4,2018-11-01,0.0
299,4,2018-12-01,0.0
300,4,2019-01-01,9.2
301,4,2019-02-01,11.366666666666667
302,4,2019-03-01,0.0
303,4,2019-04-01,0.0
304,4,2019-05-01,21.175
305,4,2019-06-01,0.0
306,4,2019-07-01,13.0
307,4,2019-08-01,0.0
308,4,2019-09-01,8.2
309,4,2019-10-01,0.0
310,4,2019-11-01,0.0
311,4,2019-12-01,0.0
312,4,2020-01-01,7.75
313,4,2020-02-01,26.200000000000003
314,4,2020-03-01,0.0
315,4,2020-04-01,0.0
316,4,2020-05-01,0.0
317,4,2020-06-01,0.0
318,4,2020-07-01,0.0
319,4,2020-08-01,15.233333333333334
320,4,2020-09-01,0.0
321,4,2020-10-01,4.9
322,4,2020-11-01,0.0
323,4,2020-12-01,7.2
324,4,2021-01-01,9.7
325,4,2021-02-01,18.96
