,Crops 2017,Crops 2018,Crops 2019,Crops 2020,Crops 2021
136,2474922,2492265,2457846,2464235,2452949
137,270249,212359,334116,254796,222891
138,2299716,2312065,2294902,2271149,2316625
139,1860542,1877393,1856339,1806080,1783043
140,957979,924778,944172,940321,1005313
141,1523218,1566633,1469261,1603697,1598353
142,1999168,1922187,1750691,1906643,1995232
143,153020,148749,171802,142572,86096
144,1428304,1426001,1443999,1426042,1437875
145,560857,684368,709728,541355,716227
146,931241,978555,975280,920140,843830
147,1760722,1773607,1788165,1775246,1806426
148,1079260,1099802,1086821,1080793,1079131
149,1271200,1273115,1270593,1245811,1240086
150,1070704,1079232,1053428,1031182,1028378
151,1108733,1129900,1051773,1144465,1201731
152,1439452,1483489,1470630,1452228,1464033
153,484351,526766,583321,476593,506090
154,2234492,2256486,2102103,2233623,2358257
155,1621,939,2235,613,2701
156,1269870,1290354,1287956,1282631,1285841
157,960620,1034902,1000166,1042587,1071850
158,959520,970042,990758,967990,990267
159,744622,786466,746763,670471,836396
160,1786604,1843989,1846017,1768857,1808466
161,518184,518864,478753,487717,503499
162,1150739,1223114,1132622,962970,1321337
163,1636917,1668234,1641372,1653103,1653655
164,1696891,1679916,1698218,1743353,1789780
165,2788852,2945334,2913576,2880559,2987369
166,756746,797620,825398,814952,798687
167,142878,142075,138541,131170,127375
168,1116206,1115064,1041515,1144748,1179422
169,1388618,1406341,1392026,1343318,1335829
170,1830178,1863138,1854380,1866803,1831399
171,940290,948311,952802,985565,1001641
172,8009,3997,3074,901,2757
173,0,0,0,0,0
174,880739,906300,893651,890227,875076
175,1226667,1225389,1214214,1197945,1202461
176,1247375,1239058,1242104,1218909,1222496
177,1207201,1223912,1205975,1215092,1224120
178,1357362,1335974,1321205,1255790,1486495
179,907440,851410,889971,780128,1095718
180,1776262,1744570,1797887,1781098,1811831
181,1465977,1480941,1482565,1448276,1426183
182,774530,752166,764374,814254,857699
183,1039399,1027376,1222999,981256,1101437
184,2883665,2830971,2837530,2798478,2756111
185,2477153,2569010,2491488,2497401,2524381
186,1413033,1492175,1504793,1501125,1519020
187,1259366,1283176,1285157,1273702,1278113
188,249396,246095,244977,237332,230697
189,2518185,2647424,2685356,2589466,2644293
190,548783,449459,567651,416766,549891
191,1426897,1392980,1396979,1362839,1342490
192,1137966,1177669,1199063,1153422,1172754
193,1047419,1033399,1026519,1023845,1036194
194,1201007,1201349,1182435,1160489,1157379
195,1379645,1578772,1626863,1655184,1705854
196,1084180,1105535,1075579,1056367,1104818
197,1565417,1817861,1470998,1540142,1811720
198,1471927,1483566,1520143,1411989,1580883
199,847324,866103,866806,868610,882262
200,1355171,1443243,1427358,1411410,1477737
201,980780,1125516,1046831,981133,1079618
202,1169510,1254737,1171467,1297575,1285103
203,1628856,1652198,1872982,1678752,1709172
204,905051,1018642,1028195,1048333,1022797
205,2111219,2210565,2177501,2155584,2137829
206,1438812,1415948,1292674,1522577,1687657
207,2834007,2840709,2818027,2818861,2814111
208,1499397,1518548,1524771,1460030,1461402
209,439004,429333,438000,432834,431730
210,955962,990767,966252,952085,982089
211,1550299,1606802,1564380,1539952,1548250
212,2130089,2167677,2170053,2121225,2128796
213,1186188,1182999,1131727,1130640,1119462
214,1984228,2118963,2062688,2109204,2290780
215,1080797,889135,930065,697617,1167934
216,492281,451020,462808,432380,477746
217,1071683,1193468,1347741,1247516,1299112
218,13843,15476,15806,18377,25693
219,876078,870746,866419,810739,870592
220,19426,25198,22624,15532,12798
221,934617,929794,921450,902866,890626
222,963610,913291,929740,963461,967394
223,1313429,1410341,1483825,1435886,1480370
224,1338267,1326581,1341197,1333739,1357492
225,1805739,1810844,1836305,1811498,1821281
226,539070,552289,536489,490397,538787
227,481588,625818,948057,538962,586265
228,1909671,1944036,1950592,1857229,1875267
229,2070556,2125124,2098477,2126391,2113389
230,1356406,1363787,1375829,1346465,1349660
231,779967,800369,800457,758895,739836
232,0,0,0,0,0
233,1725835,1716536,1713601,1668445,1655652
234,496639,506795,511876,487443,444916
235,817947,881982,855575,777278,837714
236,1047216,1057844,1056901,1055887,1059947
237,537402,544205,544563,509057,491177
238,1515582,1533297,1520898,1498207,1497900
239,1610625,1635538,1626894,1665905,1678177
240,1856435,1977872,1924545,1826904,2030376
241,944244,970478,1024965,1026825,1052821
242,1566525,1587498,1598734,1602243,1638720
243,1909188,1989672,1877543,1899336,1995511
244,1327242,1436864,1232701,1455966,1509274
245,1468963,1539106,1455263,1519714,1596042
246,641314,660132,664780,658464,670571
247,1269504,1275221,1276911,1298581,1321767
248,809188,941630,822500,935288,1043125
249,1830193,1839545,1780298,1745364,1760978
250,1278542,1361648,1121474,1189474,1298241
251,1204226,1248235,1154693,1174007,1255312
252,2056062,2093664,2055400,2048131,2037641
253,1229223,1229308,1224215,1212652,1195156
254,1780953,1801436,1723575,1825728,1816622
255,1485982,1519343,1547746,1514235,1502778
