s. no,region,wh type,warehouse,district,capacity,occupancy,vacancy,latitude,longitude,address,status
272,KARIMNAGAR,INVESTOR GODOWN,KALOOR II IG,NIZAMABAD,10000.0,11854.84,-1854.84,,,,Active
273,KARIMNAGAR,INVESTOR GODOWN,KHANAPUR - II IG NZB,NIZAMABAD,4000.0,4472.79,-472.79,,,,Active
274,HYDERABAD,AMC,KOLLAPUR AMC,NAGARKURNOOL,5000.0,2204.4,2795.6,,,,Active
275,NALGONDA,AMC,KONDA MALLEPALLY AMC,NALGONDA,4000.0,4445.28,-445.28,,,,Active
276,HYDERABAD,AMC,KONDURGU AMC,MAHABOOBNAGAR,5000.0,4800.38,199.62,,,,Active
277,No Data,No Data,MALLAPOOR AMC,No Data,5000.0,3321.81,1678.19,,,,Inactive
278,No Data,No Data,MORTHAD AMC,No Data,5000.0,3424.25,1575.75,,,,Inactive
279,No Data,No Data,MOLGARA AMC,No Data,5000.0,164.97,4835.03,,,,Inactive
280,No Data,No Data,PUTANPALLY IG,No Data,10000.0,5633.35,4366.65,,,,Inactive
281,No Data,No Data,SRINAGAR IG,No Data,4000.0,6036.6,-2036.6,,,,Inactive
282,HYDERABAD,AMC,STATIONGHANPUR AMC,JANGAON,5000.0,,5000.0,17.84469,79.375237,AMC GHANPUR STN,Active
283,HYDERABAD,AMC,ALAMPUR AMC,JOGULAMBA,5000.0,406.75,4593.25,,,,Active
284,HYDERABAD,AMC,BACHANNAPET AMC,JANGAON,5000.0,,5000.0,,,Jangaon,Active
285,KARIMNAGAR,AMC,AMC CHINCHOLI,NIRMAL,5000.0,2729.86,2270.14,,,AMC CHINCHOLI NIRMAL,Active
286,No Data,No Data,AMC Dilawarpoor,No Data,5000.0,1372.31,3627.69,,,,Inactive
287,No Data,No Data,ETURNAGARAM AMC,No Data,5000.0,592.88,4407.12,,,,Inactive
288,No Data,No Data,AMC Jam,No Data,5000.0,928.78,4071.22,,,,Inactive
289,No Data,No Data,NARMETTA AMC,No Data,5000.0,3693.1,1306.9,,,,Inactive
290,No Data,No Data,PEDDAPALLY(OWN),No Data,5000.0,5813.93,-813.93,,,,Inactive
291,No Data,No Data,RANGAPUR IG,No Data,25000.0,16156.41,8843.59,,,,Inactive
292,No Data,No Data,SHANKARAMPALLY AMC,No Data,5000.0,3544.08,1455.92,,,,Inactive
293,No Data,OWN,SIDDANNAPET OWN,SIDDIPET,5000.0,5307.31,-307.31,18.074641699999997,79.0286888,,Inactive
294,NALGONDA,OWN,HUZURNAGAR OWN,SURYAPET,17300.0,22028.48,-4728.48,18.182296700000002,79.4055233,"WHM, TSWC., HUZURNAGAR, Nalgonda Dist - 508 202.",Active
295,NALGONDA,INVESTOR GODOWN,V.T.PALEM IG,NALGONDA,20000.0,23031.03,-3031.03,,,"WHM, TSWC., VENKATADRIPALEM, Miryalaguda, Nalgonda Dist - 508 207.",Active
296,KARIMNAGAR,INVESTOR GODOWN,HUZURABAD IG - II,KARIMNAGAR,25000.0,28589.43,-3589.43,,,,Active
297,KARIMNAGAR,AMC,KOLHARI AMC,ADILABAD,5000.0,4970.51,29.49,,,,Active
298,NALGONDA,AMC,ETURUNAGAMRAM AMC,JAYASHANKAR BHUPALPALLY,7500.0,7698.94,-198.94,,,AMC Eturunagasram,Active
299,KARIMNAGAR,AMC,CHANDAPUR AMC,MEDAK,10000.0,485.83,9514.17,,,AMC CHANDAPUR,Active
300,KARIMNAGAR,AMC,JINNARAM AMC,MEDAK,5000.0,404.59,4595.41,,,AMC JINNARAM,Active
301,KARIMNAGAR,AMC,SHIVAMPET AMC,MEDAK,5000.0,377.55,4622.45,,,AMC SHIVAMPET,Active
302,KARIMNAGAR,AMC,PALAT AMC,MEDAK,5000.0,296.41,4703.59,,,AMC PALAT,Active
303,No Data,No Data,TADWAI AMC,No Data,5000.0,6248.06,-1248.06,,,,Inactive
304,No Data,No Data,MARKAL AMC,No Data,5000.0,8750.86,-3750.86,,,,Inactive
305,No Data,No Data,YELLAREDDY AMC,No Data,2500.0,4874.78,-2374.78,,,,Inactive
306,HYDERABAD,AMC,REGODE AMC,MEDAK,5000.0,2510.14,2489.86,,,,Active
307,NALGONDA,AMC,JULURUPADU AMC,BHADRADRI KOTHAGUDEM,5000.0,4458.29,541.71,,,PALVANCHA,Active
308,No Data,No Data,,No Data,,69047.36,-69047.36,,,,Inactive
309,No Data,No Data,NAGIREDDYPALLI IG,No Data,69200.0,154282.51,-85082.51,,,,Inactive
310,No Data,No Data,SEETHARAMPURAM-IG,No Data,25000.0,34897.78,-9897.78,,,,Inactive
311,HYDERABAD,AMC,NYALKAL AMC,SANGAREDDY,2500.0,,2500.0,,,"NEAR MUNGI CHOWRASTHA, NYALKAL, ZAHEERABAD",Active
312,HYDERABAD,AMC,DIGWAL AMC,SANGAREDDY,2500.0,3209.98,-709.98,,,"GINIYARPALLY RAOD, DIGWAL, ZAHEERABAD",Active
313,No Data,No Data,CHEBARTHI IG,No Data,5000.0,5699.32,-699.32,,,,Inactive
314,No Data,No Data,CHINNAKODUR AMC,No Data,5000.0,5291.15,-291.15,,,,Inactive
315,No Data,No Data,GOLLAPALLY AMC,No Data,5000.0,11946.2,-6946.2,,,,Inactive
316,No Data,No Data,JILLELLA AMC,No Data,5000.0,1133.32,3866.68,,,,Inactive
317,No Data,No Data,KOHEDA AMC,No Data,2500.0,2907.15,-407.15,,,,Inactive
318,No Data,No Data,MIRDODDI AMC,No Data,2500.0,1339.15,1160.85,,,,Inactive
319,No Data,No Data,MATAMPALLY AMC,No Data,2500.0,2524.78,-24.78,,,,Inactive
320,No Data,No Data,NASANNAPALLY- HG,No Data,10000.0,6617.43,3382.57,,,,Inactive
321,No Data,No Data,THIPPARTHY-IG,No Data,70000.0,24569.11,45430.89,,,,Inactive
322,No Data,No Data,BAYYARAM AMC,No Data,2000.0,1816.11,183.89,,,,Inactive
323,No Data,No Data,IRKODE IG,No Data,4000.0,3204.53,795.47,,,,Inactive
324,No Data,No Data,KESAMUDRAM IG,No Data,1500.0,1483.95,16.05,,,,Inactive
325,No Data,No Data,MADDUR AMC,No Data,5000.0,1694.1,3305.9,,,,Inactive
326,No Data,No Data,THORRUR AMC,No Data,2500.0,2002.3,497.7,,,,Inactive
327,No Data,No Data,BACHANNAPET AMC,No Data,5000.0,4574.55,425.45,,,,Inactive
328,No Data,No Data,BEEMARAM AMC,No Data,5000.0,6523.06,-1523.06,,,,Inactive
329,No Data,No Data,DEVARUPPULA AMC,No Data,5000.0,4844.65,155.35,,,,Inactive
330,No Data,No Data,JANGAON AMC,No Data,5000.0,5486.8,-486.8,,,,Inactive
331,No Data,No Data,KASIPET AMC,No Data,3333.0,2577.59,755.41,,,,Inactive
332,KARIMNAGAR,AMC,Bhiknoor AMC,NIZAMABAD,1500.0,1420.35,79.65,18.186318,78.39672900000001,,Active
333,HYDERABAD,AMC,TEKMAL AMC,MEDAK,2500.0,2615.2,-115.2,17.981945899999996,78.022571,,Active
334,HYDERABAD,AMC,KANGTI AMC,SANGAREDDY,2500.0,2177.8,322.2,18.2121,77.6108,,Active
335,HYDERABAD,INVESTOR GODOWN,MEDCHAL IG-I,MEDCHAL,18000.0,21902.79,-3902.79,17.589938,78.5151466,,Active
336,HYDERABAD,INVESTOR GODOWN,MEDCHAL IG-II,MEDCHAL,15000.0,4601.72,10398.28,17.574422,78.517179,,Active
337,NALGONDA,INVESTOR GODOWN,JAGGAYAPETA IG,SURYAPET,10000.0,,10000.0,16.900216600000004,80.1220162,"jaggayapeta, suryapet",Active
338,HYDERABAD,AMC,RAPARTHY AMC,SANGAREDDY,2500.0,2442.84,57.16,18.144612,77.85549300000001,"Raparthy, sangareddy",Active
339,HYDERABAD,INVESTOR GODOWN,VANGAPAHAD IG,WARANGAL(U),2000.0,2000.89,-0.8900000000000999,18.0372935,79.6128834,"VANGAPAHAD, Warangal",Active
