s. no,region,wh type,warehouse,district,capacity,occupancy,vacancy,latitude,longitude,address,status
80,KARIMNAGAR,PEG,SULTHANABAD / SUGLAMPALLY (PEG),No Data,50000.0,75590.07,-25590.07,,,"WHM, TSWC., SUDDALA II (IG), M/s. Sulthanabad Rice Millers Grain Warehouse, Suddala (V & P), Sulthanabad mandal, Karimnagar Dist - 505 185.",Active
81,NALGONDA,AMC,ASWAPURAM AMC,BHADRADRI KOTHAGUDEM,2500.0,3523.32,-1023.32,17.836021,80.842822,AMC ASWAPURAM,Active
82,NALGONDA,AMC,ASWARAOPETA AMC,KHAMMAM,5000.0,9846.27,-4846.27,17.499008,80.82865799999999,AMC ASWARAOPETA,Active
83,NALGONDA,AMC,AMC AVANTIPURAM,NALGONDA,1667.0,3144.08,-1477.08,,,AMC AVANTIPURAM,Active
84,NALGONDA,AMC,BHADRACHALAM AMC,BHADRADRI KOTHAGUDEM,5000.0,2502.2,2497.8,17.6716533,80.8953954,AMC BHADRACHALAM,Active
85,NALGONDA,AMC,BHONGIR AMC,YADADHRI,5000.0,4779.88,220.12,,,"WHM, TSWC., BHONGIR, H.No. 1-3-33, Tagore Road, Nalgonda Dist - 508 116.",Active
86,NALGONDA,AMC,BHURGUMPADU AMC,BHADRADRI KOTHAGUDEM,5000.0,,5000.0,17.86572,80.82996700000001,AMC Bhurgampadu,Active
87,NALGONDA,AMC,AMC CHANDRUGONDA,BHADRADRI KOTHAGUDEM,5000.0,,5000.0,17.383760000000002,80.65609,AMC CHANDRUGONDA,Active
88,NALGONDA,AMC,AMC CHITYAL,NALGONDA,2500.0,,2500.0,17.233005,79.123465,AMC CHITYAL,Active
89,NALGONDA,AMC,AMC DAMMAPETA,BHADRADRI KOTHAGUDEM,2000.0,1674.1,325.9,17.283618,80.092939,AMC Dhammapeta,Active
90,NALGONDA,AMC,AMC KAMEPALLY,KHAMMAM,5000.0,,5000.0,17.395055,80.27799399999999,AMC KAMEPALLY,Active
91,NALGONDA,AMC,AMC MADHIRA,KHAMMAM,5000.0,,5000.0,16.812122,80.46725699999999,AMC MADHIRA,Active
92,NALGONDA,AMC,MALLARAM AMC,KARIMNAGAR,5000.0,2710.58,2289.42,,,AMC MALLARAM,Active
93,NALGONDA,AMC,AMC SURYAPET,SURYAPET,5000.0,,5000.0,,,AMC SURYAPET,Active
94,NALGONDA,AMC,TEKULAPALLY AMC,BHADRADRI KOTHAGUDEM,5000.0,7312.82,-2312.82,17.165518,80.46257299999999,AMC TEKULAPALLY,Active
95,NALGONDA,AMC,THIPPARTHY AMC,NALGONDA,5000.0,5500.28,-500.28,17.012057000000002,79.420086,"WHM,TSWC., NARKETPALLY Pvt Godowns, Nalgonda Dist - 508 254.",Active
96,NALGONDA,AMC,AMC VALIGONDA,YADADHRI,5000.0,,5000.0,,,AMC Valigonda,Active
97,NALGONDA,AMC,VENKATAPURAM AMC,KHAMMAM,5000.0,4366.91,633.09,,,AMC Venkatapuram,Active
98,NALGONDA,AMC,WYRA-AMC,KHAMMAM,6100.0,4271.35,1828.65,17.211038000000002,80.291854,AMC WYRA,Active
99,NALGONDA,OWN,BHONGIR OWN,YADADHRI,3700.0,4128.76,-428.76,17.521638199999998,78.89102609999999,"WHM, TSWC., BHONGIR, H.No. 1-3-33, Tagore Road, Nalgonda Dist - 508 116.",Active
100,NALGONDA,INVESTOR GODOWN,CHITYAL,NALGONDA,15000.0,,15000.0,,,"WHM, TSWC., CHITYAL (IG), Warehousing Complex (V & Post), Peddakaparti Village, Nalgonda Dist - 508114.",Active
101,NALGONDA,INVESTOR GODOWN,DUPPALAPALLY IG,NALGONDA,30000.0,,30000.0,,,"WHM, TSWC, Vill.A.DUPPALPALLY (M) Thipparthy, Miryalguda Road, NALGONDA",Active
102,NALGONDA,INVESTOR GODOWN,DWARAKUNTA- IG,NALGONDA,20000.0,5070.0,14930.0,,,"WHM, TSWC., KODAD – II (IG),Dwarakunta, Nalgonda Dist - 508 201.",Active
103,NALGONDA,INVESTOR GODOWN,HUZURNAGAR IG,NALGONDA,30000.0,34985.83,-4985.83,,,"WHM, TSWC., HUZURNAGAR (IG),Narayanapuram(POST), (Sitharampuram), Nalgonda Dist - 508 202.",Active
104,NALGONDA,OWN,KHAMMAM-I OWN,KHAMMAM,7300.0,3249.05,4050.95,17.237901899999997,80.13312979999999,"WHM, TSWC., Grain Market Yard, KHAMMAM - I, Khammam Dist - 507 003.",Active
105,NALGONDA,INVESTOR GODOWN,KHAMMAM(IG) / PONNEKAL,KHAMMAM,0.0,,0.0,17.283618,80.092939,KHAMMAM,Active
106,NALGONDA,OWN,KHAMMAM-II OWN,KHAMMAM,16500.0,14186.46,2313.54,17.2438029,80.1145317,"Warehouse Manager ,TSWC.,KHAMMAM – II (IG), Warangal Road, Peddatanda,Gandhi Chowk,KHAMMAM DIST. 507 003.",Active
107,NALGONDA,OWN,KODAD OWN,SURYAPET,26500.0,56544.41,-30044.41,16.9830439,79.9457505,"WHM, TSWC., KODAD , Balajinagar, Nalgonda Dist - 508 201.",Active
108,NALGONDA,OWN,KOTHAGUDEM OWN,BHADRADRI KOTHAGUDEM,8300.0,7040.51,1259.49,17.568000199999997,80.6268715,"WHM, TSWC., KOTHAGUDEM, Laxmidevepalli, Khammam Dist - 507 106.",Active
109,NALGONDA,INVESTOR GODOWN,GAJALAPURAM IG,No Data,75168.0,7401.24,67766.76,,,Kukkadam,Active
110,NALGONDA,INVESTOR GODOWN,MIRYALAGUDA IG (RS),NALGONDA,50000.0,50276.01,-276.01,,,"WHM, TSWC., MIRYALAGUDA, Near Market Yard, Shadunagar, Nalgonda Dist - 508 207.",Active
111,NALGONDA,INVESTOR GODOWN,NAGIREDDYPALLY IG,KAMAREDDY,70000.0,9058.32,60941.68,18.113212,78.13324200000001,Nagireddypally,Active
112,NALGONDA,OWN,NALGONDA OWN,NALGONDA,16000.0,23193.13,-7193.13,17.083461,79.26370899999999,"WHM, TSWC., NALGONDA, 6-6-61, Behind Polytechnic College, Hyderabad Road, Nalgonda Dist - 508 001.",Active
113,NALGONDA,OWN,NEREDUCHERLA OWN,SURYAPET,12500.0,18721.58,-6221.58,18.1820487,79.4039925,"WHM, TSWC., NEREDUCHERLA (MIRYALAGUDA), Nalgonda Dist - 508 218.",Active
114,NALGONDA,OWN,PALVANCHA OWN,BHADRADRI KOTHAGUDEM,750.0,3781.84,-3031.84,17.577259100000003,80.7074637,"WHM, TSWC., KOTHAGUDEM, Laxmidevepalli, Khammam Dist - 507 106.",Active
115,NALGONDA,INVESTOR GODOWN,SHANTHINAGAR IG,NALGONDA,27500.0,13543.83,13956.17,,,"WHM, TSWC., KODAD – I, Shanthinagar, Nalgonda Dist - 508 201",Active
116,NALGONDA,OWN,SURYAPET OWN,SURYAPET,750.0,,750.0,,,"WHM, TSWC., SURYAPET ,AMC Premises, Nalgonda Dist - 508 201.",Active
117,NALGONDA,OWN,V.T.PALEM OWN,NALGONDA,20500.0,28255.97,-7755.97,16.8486107,79.5364287,"WHM, TSWC., VENKATADRIPALEM, Miryalaguda, Nalgonda Dist - 508 207.",Active
118,NALGONDA,INVESTOR GODOWN,WANGAPALLY IG,NALGONDA,40000.0,58138.45,-18138.45,,,Wangapally,Active
119,NALGONDA,INVESTOR GODOWN,TATIPUDI WYRA-IG,BHADRADRI KOTHAGUDEM,10000.0,10246.25,-246.25,,,Wyra,Active
120,HYDERABAD,AMC,AKKARAM,MAHABOOBNAGAR,10000.0,,10000.0,,,"WHM, TSWC., ZAHEERABAD (IG), Mogudumpalli X Road, National Highway No.9, Medak Dist - 502 117.",Active
121,HYDERABAD,INVESTOR GODOWN,AKKARAM IG,MAHABOOBNAGAR,25128.0,4194.4,20933.6,,,"TELANGANA STATE WAREHOUSING CORP Warehousing Sadan, 2nd Floor, Be",Active
122,HYDERABAD,AMC,ATMAKUR AMC,WANAPARTHY,5000.0,1673.55,3326.45,,,AMC ATMAKUR,Active
123,HYDERABAD,AMC,AMC ATMAKUR GUDEPPADHU,WANAPARTHY,1000.0,834.97,165.03,,,AMC ATMAKUR GUDEPPADHU,Active
124,HYDERABAD,AMC,AMC BALNAGAR,No Data,5000.0,,5000.0,16.936219,78.184161,AMC BALNAGAR,Active
125,HYDERABAD,AMC,AMC BHEEMADEVARAPALLI,WARANGAL(U),5000.0,,5000.0,,,AMC BHEEMADEVARAPALLI,Active
126,HYDERABAD,AMC,AMC BOOTHPOOR,MAHABOOBNAGAR,5000.0,,5000.0,,,AMC BOOTHPOOR,Active
127,HYDERABAD,AMC,AMC CHANDAPUR,MEDAK,2500.0,,2500.0,17.676299,78.19254000000001,AMC CHANDAPUR,Active
128,HYDERABAD,AMC,CHEGUNTA AMC,MEDAK,2500.0,2887.3,-387.3,17.979648,78.45525699999999,AMC CHEGUNTA,Active
129,HYDERABAD,AMC,AMC CHEVELLA,RANGA REDDY,3000.0,,3000.0,17.310470000000002,78.31978000000001,AMC CHEVELLA,Active
130,HYDERABAD,AMC,CHINNASHANKARAMPET AMC,MEDAK,2500.0,2525.13,-25.13,17.984237,78.41449899999999,AMC CHINASHANKARAMPET,Active
131,HYDERABAD,AMC,DHARMASAGAR AMC,WARANGAL(R),5000.0,3489.49,1510.51,,,AMC DHARMASAGAR,Active
132,HYDERABAD,AMC,DOULTHABAD AMC,SIDDIPET,2500.0,1724.59,775.41,17.989275,78.56270500000001,AMC DOULTHABAD,Active
133,HYDERABAD,AMC,DUBBAK AMC,SIDDIPET,5000.0,5013.17,-13.17,18.180827999999998,78.674162,AMC DUBBAK,Active
134,HYDERABAD,AMC,AMC DUGGONDI,WARANGAL(R),5000.0,,5000.0,,,AMC DUGGONDI,Active
135,HYDERABAD,AMC,ELKATHURTHY AMC,WARANGAL(U),5000.0,3397.62,1602.38,,,AMC ELKATHURTHY,Active
136,HYDERABAD,AMC,AMC ELLANDA,WARANGAL(U),2500.0,,2500.0,,,AMC ELLANDA,Active
137,HYDERABAD,AMC,AMC ENUMAMULA,WARANGAL(R),14500.0,,14500.0,,,AMC ENUMAMULA,Active
138,HYDERABAD,AMC,AMC ENUMAMULA MARKET YARD,WARANGAL(R),5000.0,,5000.0,,,AMC ENUMAMULA MARKET YARD,Active
139,HYDERABAD,AMC,GOVINDARAOPET AMC,JAYASHANKAR BHUPALPALLY,24000.0,6648.59,17351.41,18.194315,80.13388499999999,AMC GOVINDARAOPET,Active
140,HYDERABAD,AMC,HOTHI (K) AMC,MEDAK,5000.0,4203.52,796.48,17.635023,77.604752,AMC HOTHI,Active
141,HYDERABAD,AMC,AMC HUSNABAD,SIDDIPET,5000.0,,5000.0,18.128251000000002,79.216492,AMC HUSNABAD,Active
142,HYDERABAD,AMC,AMC JAGDEVPUR,SIDDIPET,10000.0,,10000.0,17.796245000000003,78.822092,AMC JAGDEVPUR,Active
143,HYDERABAD,AMC,KAMALAPUR AMC,WARANGAL(U),10000.0,9232.46,767.54,,,AMC KAMALAPUR,Active
144,HYDERABAD,AMC,KESAMUDRAM AMC,MEHABOOBABAD,2500.0,3467.13,-967.13,,,AMC KESAMUDRAM,Active
145,HYDERABAD,AMC,KOWDIPALLY AMC,MEDAK,5000.0,2751.06,2248.94,17.898006,78.205066,AMC KOUDIPALLY,Active
146,HYDERABAD,AMC,IEEJA AMC,JOGULAMBA,5000.0,2648.81,2351.19,,,AMC LEEJA,Active
147,HYDERABAD,AMC,MADANAPURAM AMC,MAHABOOBNAGAR,10000.0,5884.16,4115.84,,,AMC MADHANAPURAM,Active
148,HYDERABAD,AMC,MARIPEDA AMC,MEHABOOBABAD,3850.0,4116.71,-266.71,,,AMC MARIPEDA,Active
149,HYDERABAD,AMC,MASAIPET AMC,MEDAK,5000.0,4439.48,560.52,17.899604999999998,78.469725,AMC MASAIPET,Active
150,HYDERABAD,AMC,MEDAK AMC,MEDAK,2500.0,3974.0,-1474.0,18.039018,78.257074,AMC MEDAK,Active
151,HYDERABAD,AMC,AMC MUSALAMMAKUNTA,WARANGAL(U),5000.0,,5000.0,,,AMC MUSALAMMAKUNTA,Active
152,HYDERABAD,AMC,MUTRAJPALLY AMC,MEDAK,5000.0,10912.11,-5912.11,17.826379,78.249443,AMC MUTRAJPALLY,Active
153,HYDERABAD,AMC,AMC NALLABELLY,WARANGAL(U),5000.0,,5000.0,,,AMC NALLABELLY,Active
154,HYDERABAD,AMC,NARSAPUR AMC,MEDAK,5000.0,393.3,4606.7,17.47495,78.288362,AMC NARSAPUR,Active
155,HYDERABAD,AMC,NEKKONDA AMC,WARANGAL(R),5000.0,3539.67,1460.33,,,AMC NEKKONDA,Active
156,HYDERABAD,AMC,NELLIKUDURU AMC,No Data,2500.0,2971.16,-471.16,,,AMC NELIKUDURU,Active
157,HYDERABAD,AMC,PAPANNAPET AMC,MEDAK,2500.0,5338.48,-2838.48,18.026798,78.072989,AMC PAPANNAPET,Active
158,HYDERABAD,AMC,PARKAL AMC,WARANGAL(R),5000.0,4802.69,197.31,18.32695,79.684267,AMC PARKAL,Active
159,HYDERABAD,AMC,AMC PARVATHAPUR,RANGA REDDY,5000.0,,5000.0,,,AMC PARVATHAPUR,Active
160,HYDERABAD,AMC,PEDDASHANKARAMPET AMC,MEDAK,5000.0,3670.04,1329.96,18.0444,77.918786,AMC PEDDASHANKARAMPET,Active
161,HYDERABAD,AMC,RAMAYAMPET AMC,MEDAK,7500.0,10302.76,-2802.76,18.10531,78.433336,AMC RAMAYANPET,Active
162,HYDERABAD,AMC,AMC RAYAPARTHY,WARANGAL(R),2500.0,,2500.0,,,AMC RAYAPARTHI,Active
163,HYDERABAD,AMC,REGONDA AMC,JAYASHANKAR BHUPALPALLY,5000.0,3174.62,1825.38,18.223585999999997,79.77414499999999,AMC REGONDA,Active
164,HYDERABAD,AMC,SADASHIVPET AMC,SANGAREDDY,10000.0,2052.8,7947.2,17.626319,77.954412,AMC SADASHIVPET,Active
165,HYDERABAD,AMC,SHAYAMPET AMC,KARIMNAGAR,5000.0,5338.89,-338.89,,,AMC SAYAMPET,Active
166,HYDERABAD,AMC,SHADNAGAR AMC,RANGA REDDY,5000.0,3387.11,1612.89,17.041282,78.200179,AMC SHADNAGAR,Active
167,HYDERABAD,AMC,AMC SHIVAMPET,MEDAK,5000.0,,5000.0,17.772694,78.359234,AMC SHIVAMPET,Active
168,HYDERABAD,AMC,SIDDIPET AMC,SIDDIPET,5000.0,5247.33,-247.33,18.122784,78.870602,AMC Siddipet,Active
169,HYDERABAD,AMC,AMC TANDUR,VIKARABAD,5000.0,,5000.0,17.265004,77.62565,AMC TANDUR,Active
170,HYDERABAD,AMC,AMC TOOPRAN,MEDAK,5000.0,,5000.0,17.783410999999997,78.468593,AMC TOOPRAN,Active
171,HYDERABAD,AMC,TUNIKI BOLLARAM AMC,MEDAK,5000.0,4999.65,0.35000000000036,,,AMC TUNKI,Active
172,HYDERABAD,AMC,VATTPALLY AMC,SANGAREDDY,5000.0,4410.27,589.73,17.96876,77.831546,AMC VATPALLY,Active
173,HYDERABAD,AMC,VELTOOR AMC,MAHABOOBNAGAR,5000.0,,5000.0,,,AMC VELTOOR,Active
174,HYDERABAD,AMC,ZAFFARGADH AMC,JANGAON,5000.0,3707.22,1292.78,17.797545,79.491304,AMC ZAFFERGADH,Active
175,HYDERABAD,INVESTOR GODOWN,CHERLAPALLY IG,MEDCHAL,10000.0,3715.74,6284.26,,,Cherlapally,Active
176,HYDERABAD,INVESTOR GODOWN,CHINNADARAPALLY IG,MAHABOOBNAGAR,23345.0,,23345.0,,,"WHM, TSWC., CHINNADARPALLY, Vuduthula godowns, Hunwada Mandal, Mahaboobnagar Dist - 509 334.",Active
177,HYDERABAD,INVESTOR GODOWN,DHARMARAM IG,KARIMNAGAR,10000.0,9604.9,395.1,,,"WHM, TSWC., DHARMARAM (IG) Sainath Godowns, Narsampet Road, Warangal Dist - 506 330",Active
178,HYDERABAD,INVESTOR GODOWN,GADWAL,JOGULAMBA,10000.0,,10000.0,,,"WHM, TSWC., GADWAL (IG), Putanpalli, Gadwal, Mahaboobnagar Dist - 509 125.",Active
179,HYDERABAD,INVESTOR GODOWN,GORREKUNTA IG,WARANGAL(R),24000.0,22206.33,1793.67,,,gorrekunta,Active
180,HYDERABAD,OWN,GURRALAGONDI OWN,SIDDIPET,5000.0,5596.59,-596.59,18.211443799999998,78.82323740000001,Gurralagondi,Active
181,HYDERABAD,OWN,JADCHERLA OWN,MAHABOOBNAGAR,11500.0,10067.99,1432.01,16.74635124206543,78.143928527832,"WHM, TSWC., JADCHERLA, Badepalli Station, Mahaboobnagar Dist - 509 301.",Active
182,HYDERABAD,INVESTOR GODOWN,JADCHERLA IG,MAHABOOBNAGAR,25000.0,23421.04,1578.96,,,"WHM, TSWC., JADCHERLA (IG), Bhureddypalli Village, Kurnool Road, Mahaboobnagar Dist - 509 301.",Active
183,HYDERABAD,INVESTOR GODOWN,JANAGAON,JANGAON,1000.0,,1000.0,,,Janagaon,Active
184,HYDERABAD,INVESTOR GODOWN,KHANAPUR / WARANGAL,WARANGAL(R),5000.0,8251.4,-3251.4,,,"WHM, TSWC., KHANAPUR (IG), Chadalavada Godowns, Narsampet Tq, Warangal Dist -– 506 132.",Active
185,HYDERABAD,INVESTOR GODOWN,KOUKUNTLA IG,No Data,106666.0,159.28,106506.72,,,Koukuntla,Active
186,HYDERABAD,INVESTOR GODOWN,MAHABUBABAD IG 1,MEHABOOBABAD,5000.0,6410.12,-1410.12,,,"WHM, TSWC., MAHABOOBABAD (IG), Anantaram (V & P), Bayyaram Road, Warangal Dist - 506 001.",Active
187,HYDERABAD,INVESTOR GODOWN,MAHABUBABAD IG 2,MEHABOOBABAD,5000.0,6438.72,-1438.72,,,"WHM, TSWC., MAHABOOBABAD (IG), Anantaram (V & P), Bayyaram Road, Warangal Dist - 506 001.",Active
188,HYDERABAD,INVESTOR GODOWN,MUDEREDPALLY IG,No Data,6500.0,7561.54,-1061.54,,,Mudireddypalli,Active
189,HYDERABAD,OWN,MUSHEERABAD OWN,HYDERABAD,4000.0,,4000.0,17.4356884,78.4183459,"WHM, TSWC., MUSHEERABAD, Opp. Gandhi Hospital, Secunderabad. - 502 110.",Active
190,HYDERABAD,INVESTOR GODOWN,NEKKONDA,No Data,20000.0,,20000.0,,,Nekkonda,Active
191,HYDERABAD,PEG,NEKKONDA,No Data,50000.0,,50000.0,,,"WHM, TSWC., NEKKONDA New godowns, Warangal Dist - 506 122.",Active
192,HYDERABAD,AMC,SANGAREDDY,SANGAREDDY,5000.0,,5000.0,17.546176000000003,78.11955999999999,AMC SANGAREDDY,Active
193,HYDERABAD,OWN,SHADNAGAR OWN,RANGA REDDY,1000.0,,1000.0,17.080584899999998,78.2070571,"WHM, TSWC., SHADNAGAR (Saroop Nagar), Mahaboobnagar Dist - 509 301.",Active
194,HYDERABAD,INVESTOR GODOWN,SIDDANAPET,SIDDIPET,24000.0,,24000.0,,,SIDDANAPET,Active
195,HYDERABAD,INVESTOR GODOWN,SIDDIPET,No Data,5000.0,,5000.0,,,"WHM, TSWC., SIDDIPET (IG), Ponnala Village, Medak Dist 502 103.",Active
196,HYDERABAD,INVESTOR GODOWN,TUNIKI IG,MEDAK,22251.0,27.71,22223.29,,,"WHM, TSWC., MEDAK (IG), Chetpalli Kalam, Balnagar Village, Medak Dist - 502 117.",Active
197,HYDERABAD,PEG,VADLAKONDA PEG,JANGAON,10000.0,8525.74,1474.26,,,"WHM, TSWC., VADLAKONDA, Vadlakonda (V & P), Jangaon Mandal, Warangal Dist - 506 167.",Active
198,HYDERABAD,OWN,WARANGAL OWN,WARANGAL(U),12500.0,11557.93,942.07,17.9960472,79.6321473,"WHM, TSWC., WARANGAL, Desaipeta, Warangal Dist - 506 006.",Active
199,HYDERABAD,INVESTOR GODOWN,ZAHEERABAD IG,SANGAREDDY,10000.0,6113.84,3886.16,17.785857999999998,77.70736600000001,"WHM, TSWC., ZAHEERABAD (IG), Mogudumpalli X Road, National Highway No.9, Medak Dist - 502 117.",Active
200,HYDERABAD,AMC,BICHKUNDA AMC,KAMAREDDY,5000.0,916.16,4083.84,18.410409,77.725039,AMC Bichkonda,Active
201,HYDERABAD,AMC,JUKKAL AMC,KAMAREDDY,5000.0,1700.4,3299.6,18.351347,77.597875,AMC JUKKAL,Active
202,KARIMNAGAR,AMC,MADNOOR AMC,JAGTIAL,7500.0,5911.4,1588.6,,,AMC MADUNOOOR,Active
203,KARIMNAGAR,AMC,NAVIPET AMC,NIZAMABAD,5000.0,2775.78,2224.22,18.761763000000002,78.000489,AMC NAVIPET,Active
204,HYDERABAD,AMC,NIZAMSAGAR AMC,KAMAREDDY,5000.0,4512.17,487.83,18.228899,78.945073,AMC NIZAMSAGAR,Active
205,KARIMNAGAR,AMC,AMC BELA,ADILABAD,5000.0,,5000.0,19.71702,78.772981,AMC BELA,Active
206,HYDERABAD,AMC,AMC DHARMARAM,WARANGAL(U),5000.0,,5000.0,,,AMC DHARMARAM,Active
207,KARIMNAGAR,AMC,JAINATH AMC,ADILABAD,2500.0,1707.97,792.03,19.727541,78.64269499999999,AMC JAINATH,Active
208,KARIMNAGAR,INVESTOR GODOWN,PEDDABONKUR IG,KARIMNAGAR,2500.0,13033.35,-10533.35,,,"PEDDABONKUR, PEDDAPALLY, KARIMNAGAR",Active
209,HYDERABAD,AMC,AMC GURRALAGONDI,SIDDIPET,5000.0,,5000.0,18.202884,78.826036,AMC GURRALAGONDI,Active
210,HYDERABAD,AMC,SIDDANNAPET AMC,SIDDIPET,5000.0,,5000.0,18.074354999999997,79.028195,AMC SIDDANNAPET,Active
211,HYDERABAD,AMC,WARANGAL AMC,WARANGAL(U),10000.0,5921.73,4078.27,17.998847,79.627862,AMC WARANGAL,Active
212,HYDERABAD,AMC,AMC GORREKUNTA,WARANGAL(R),5000.0,,5000.0,17.963781,79.63766899999999,AMC GORREKUNTA,Active
213,HYDERABAD,AMC,AMC HANMAKONDA,WARANGAL(U),5000.0,,5000.0,17.979754,79.608618,AMC HANMAKONDA,Active
214,KARIMNAGAR,AMC,DHANORA AMC,ADILABAD,30000.0,5208.16,24791.84,19.804323,78.402173,AMC DHANORA,Active
215,HYDERABAD,AMC,AMC JADCHERLA,MAHABOOBNAGAR,5000.0,,5000.0,16.753598,78.146106,AMC JADCHERLA,Active
216,HYDERABAD,AMC,KOTHAKOTA AMC,WANAPARTHY,5000.0,3532.39,1467.61,16.377182,77.917614,AMC KOTHAKOTA,Active
217,HYDERABAD,AMC,AMC MUDIREDDYPALLI,MEDAK,5000.0,,5000.0,16.841273,78.158108,AMC MUDIREDDYPALLI,Active
218,HYDERABAD,AMC,MULUGU AMC,JAYASHANKAR BHUPALPALLY,5000.0,3916.97,1083.03,18.194315,80.13388499999999,AMC MULUGU,Active
219,HYDERABAD,AMC,NAGIREDDYPET AMC,KAMAREDDY,5000.0,5039.27,-39.27,18.113275,78.13355899999999,AMC NAGIREDDYPET,Active
220,HYDERABAD,AMC,AMC PARVATHAGIRI,WARANGAL(R),5000.0,,5000.0,17.738134,79.727779,AMC PARVATHAGIRI,Active
221,HYDERABAD,AMC,AMC SHANKARAMPET,MEDAK,5000.0,,5000.0,18.050625,77.90910600000001,AMC SHANKARAMPET,Active
222,HYDERABAD,AMC,AMC SHYAMAPET,WARANGAL(U),5000.0,,5000.0,18.117729999999998,79.730427,AMC SHYAMAPET,Active
