,MAE,RMSE,R2,Accuracy,Features
95,12.87241899825065,16.089312055952064,-1.9046256037285252,70.74806859146766,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
96,12.921429662348528,16.115881499073,-1.9142267608485608,70.58442308316936,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
97,14.583804445860377,17.260966146443725,-2.3430695574600198,66.3295057375993,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
98,14.525074076996159,17.194694323749154,-2.3174480483751303,66.43194341063005,"['Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
99,14.59566232856788,17.13577898105003,-2.2947534024998713,66.12807576055364,"['SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
100,12.660300818259104,15.685902919089491,-1.7607956174300368,71.21871998109017,"['ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
101,11.939280912625046,15.126054993150062,-1.5672405344687568,72.47972712572067,"['BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
102,12.006548512175431,15.20750618691178,-1.594963268907402,72.33565586433352,"['AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median']"
103,12.138177289470999,14.973076675295511,-1.5155752221377958,71.7021857834825,"['PRE_median_lagged', 'time_to_rur_median']"
104,12.451108998638132,15.436311315869789,-1.6736359288471738,72.02237963144724,['time_to_rur_median']
105,12.604822291084895,15.831521706654597,-1.8122927852510782,71.38740752936398,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
106,12.753522250342694,15.999680263589681,-1.8723530470930108,71.02805889334321,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
107,12.822369225385328,16.107574105390317,-1.9112230915537336,70.89090058739829,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
108,12.757532136997156,15.906236561191712,-1.8388999387129914,70.87169212813049,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
109,12.534061078170613,15.745732055161616,-1.7818962227970476,71.4142541685353,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
110,12.70619695141429,15.907429385329237,-1.8393257384084967,70.99055504243735,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
111,14.286342882476157,16.98163779344886,-2.235745516934618,66.95261929192027,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
112,14.268715790412347,16.960062587750116,-2.2275286973439643,66.9656204699779,"['Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
113,14.536220453525006,17.094244738671787,-2.278800904299982,66.20486246115237,"['SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
114,12.247163783271555,15.38287467374632,-1.655157053539516,72.30343756065373,"['ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
115,11.536503207773894,14.705191272426521,-1.4263674256149548,73.45917901683912,"['BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
116,11.573898315539937,14.726588795719048,-1.4334337773090877,73.32521576753902,"['AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
117,12.128697248329667,14.98491580283894,-1.519554897238835,71.79628877428041,"['PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols']"
118,12.396711396045626,15.376331155331593,-1.652898649414273,72.107919915152,"['time_to_rur_median', 'Chromic Luvisols']"
119,12.471274542697708,15.551880311427805,-1.713819893478631,72.08442677446266,['Chromic Luvisols']
120,12.688699744109027,15.934871791599111,-1.8491306085596597,71.18597599648005,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
121,12.702766010621229,15.950410151037364,-1.8546897872800323,71.14786231416532,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
122,12.947659985120616,16.251350492778673,-1.9634262594299514,70.56770636566682,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
123,12.742347332129938,15.878087557404294,-1.8288609209772924,70.8864170821825,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
124,12.500843851250064,15.720128731102468,-1.7728565818395086,71.54527396080177,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
125,12.657793975529671,15.87103038037616,-1.826346847958785,71.12739077181125,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
126,14.153555545656378,16.84235381341254,-2.182883803340163,67.2721983162464,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
127,14.2171823757765,16.896456541622413,-2.2033654156834332,67.08701171405814,"['Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
128,14.385478138116278,16.957403501660654,-2.226516719489373,66.59170547799363,"['SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
129,12.266445399803438,15.374088945605397,-1.6521250030361787,72.24137611379594,"['ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
130,11.543245447996554,14.72574612103848,-1.4331552967470769,73.4562385170298,"['BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
131,11.60023461869707,14.7405771964159,-1.438058882823714,73.26351144435641,"['AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
132,12.094943395120426,14.942367025171427,-1.5052669582358695,71.87918173121507,"['PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
133,12.390499918950818,15.375680717167624,-1.652674212256553,72.12802830117408,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols']"
134,12.459201761438244,15.550273303812313,-1.7132590733300237,72.1226805714187,"['Chromic Luvisols', 'Chromic Vertisols']"
135,12.52655934906175,15.57574193905923,-1.7221540417531083,71.94423316145917,['Chromic Vertisols']
136,12.596485692478606,15.843227161004032,-1.8164530087915352,71.41502348855643,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
137,12.646147364237095,15.863411061359445,-1.823633770284733,71.25880043528889,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
138,12.722112580820218,15.993047362648973,-1.869971989001212,71.13642178259053,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
139,12.582933912545798,15.698345088636502,-1.7651771198248656,71.3121329929819,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
140,12.365994539973583,15.563748013448363,-1.7179633274247776,71.85125478012536,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
141,12.442266961049869,15.630529418410802,-1.7413380084517134,71.64070178830262,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols']"
