,MAE,RMSE,R2,Features
50,74.42502230918458,100.6314587263943,-0.35392044218146146,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean']"
51,73.18590430369372,100.21602393624337,-0.3427647925633217,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean']"
52,76.23386707229788,103.78081819463617,-0.43999103988716737,"['Paddy', 'Maize', 'Soybean']"
53,67.79792192270571,94.8380825108859,-0.2025167608941134,"['Maize', 'Soybean']"
54,64.70044411442849,86.81235532853835,-0.007601227408479794,['Soybean']
55,62.09379131610881,94.57949513916135,-0.19596808948376054,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
56,62.51961376359461,95.6448877454051,-0.22306385788338234,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
57,62.87447657962752,96.0963592525427,-0.23463753876249016,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
58,62.937300704213065,96.4994062584782,-0.24501588231131333,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
59,62.988225990024354,96.35042873081122,-0.24117469360305344,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
60,63.02719357572665,96.48598383164953,-0.24466955950944747,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
61,61.94821192439213,95.57186667471201,-0.22119704947507257,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
62,62.925785192498786,96.55463432600898,-0.24644137289273704,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
63,59.676880679271235,91.83837992780082,-0.12764925446237663,"['Maize', 'Soybean', 'Cotton']"
64,61.78864978342058,89.01963948017485,-0.05949099880961528,"['Soybean', 'Cotton']"
65,64.52446229860381,90.94406914739575,-0.10579436736701964,['Cotton']
66,62.18132334283939,94.80097353595569,-0.2015758849778424,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
67,62.652496545244254,95.93006968845249,-0.2303682885413394,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
68,62.959419488774834,96.50312317106027,-0.24511179387179372,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
69,63.04066702699815,96.66462488818958,-0.24928276679244243,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
70,63.15434971521025,96.57398498289486,-0.24694102526906936,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
71,63.23655339547866,96.82613821801338,-0.25346101482577077,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
