title,Mandals,Districts,published_date
Bhadradri Kothagudem district suffers extensive damage,"['Kothagudem', 'Mulug', 'Bhadrachalam', 'Nirmal']","['Khammam', 'Mulugu', 'Bhadradri Kothagudem', 'Nirmal', 'Adilabad']",2022-07-22 15:48:49+00:00
Massive loss to standing crops as heavy rains batter 16 districts in TS,"['Karimnagar', 'Allapalli', 'Gadwal', 'Kamareddy', 'Mancherial', 'Sangareddy', 'Mulug', 'Nirmal', 'Medak', 'Peddapalli', 'Krishna', 'Kothagudem', 'Jagtial', 'Bhadrachalam', 'Sircilla']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-09-12 00:13:00+05:30
"Water level in river Godavari rising at Bhadrachalam, first warning issued","['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Mulug', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-09-12 14:10:34+05:30
Central team visits flood-hit Telangana districts,"['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Mulug', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-07-23 00:00:00
"Telangana floods: State pegs losses at Rs 1,400 crore, seeks Rs 1,000 crore immediate central aid","['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Mulug', 'Asifabad', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-07-21 12:47:05+05:30
TRS suspends Kothagudem MLA’s son,"['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Raghunadhapalem', 'Mulug', 'Asifabad', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-01-07 13:47:45+00:00
Cloudburst is 'Foreign Conspiracy': Telangana CM KCR As Region Hit by Floods,"['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Raghunadhapalem', 'Mulug', 'Asifabad', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-07-17 19:27:37+05:30
"High wages, heatwave hit poultry farmers","['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Raghunadhapalem', 'Mulug', 'Asifabad', 'Jagtial', 'Gundala', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-05-26 02:43:00+05:30
Mango production takes all time hit,"['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Raghunadhapalem', 'Mulug', 'Asifabad', 'Jagtial', 'Enkoor', 'Vemsoor', 'Gundala', 'Penuballi', 'Madhira', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-04-29 04:43:00+05:30
"Hit by Thrips, Khammam farmers turn to dragon fruit","['Mancherial', 'Peddapalli', 'Dummugudem', 'Sircilla', 'Karimnagar', 'Tirumalayapalem', 'Kamareddy', 'Sangareddy', 'Aswapuram', 'Raghunadhapalem', 'Mulug', 'Asifabad', 'Jagtial', 'Enkoor', 'Vemsoor', 'Gundala', 'Penuballi', 'Madhira', 'Nirmal', 'Medak', 'Kothagudem', 'Yellandu', 'Allapalli', 'Cherla', 'Gadwal', 'Krishna', 'Bhadrachalam']","['Khammam', 'Mulugu', 'Rajanna Sircilla', 'Karimnagar', 'Hyderabad', 'Bhadradri Kothagudem', 'Sangareddy', 'Jogulamba Gadwal', 'Siddipet', 'Kamareddy', 'Mancherial', 'Nirmal', 'Medak', 'Peddapalli', 'Adilabad', 'Jagtial', 'Nizamabad']",2022-01-27 00:00:00
