,index,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
10,Utnur,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036404639175257733,0.011243556701030928,0.015206185567010309,0.015206185567010309,0.011565721649484537,0.003962628865979381,0.0,0.0,0.0,0.0,0.0,0.0,0.0046713917525773195,0.009342783505154639,0.009342783505154639,0.009342783505154639,0.0046713917525773195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11,Allapalli,,,0.04,0.024331683168316832,0.004331683168316832,0.0,0.0,0.0,0.0,0.0,0.0,0.010816831683168318,0.024826732673267328,0.028019801980198024,0.028019801980198024,0.017202970297029704,0.0031930693069306933,0.0,0.0,0.0,0.0,0.008886138613861385,0.01777227722772277,0.01777227722772277,0.01777227722772277,0.008886138613861385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,Annapureddipalle,,,0.005255681818181818,0.003835227272727273,0.007670454545454546,0.007670454545454546,0.007670454545454546,0.003835227272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037642045454545454,0.007528409090909091,0.007528409090909091,0.007528409090909091,0.01747159090909091,0.02741477272727273,0.02741477272727273,0.02741477272727273,0.013707386363636364,0.0,0.0,0.0,0.008451704545454545,0.02784090909090909,0.03877840909090909,0.05504261363636363,0.06874999999999999,0.055255681818181815,0.04431818181818181,0.028053977272727272,0.015909090909090907,0.02002840909090909,0.02002840909090909,0.02002840909090909,0.010014204545454545,0.0,0.0,0.0,0.0,0.0,0.008664772727272728,0.040838068181818184,0.06434659090909091,0.06434659090909091,0.055681818181818186,0.02350852272727273,0.0,0.0,,
13,Aswapuram,,,0.006783536585365854,0.003391768292682927,0.0,0.0,0.01291920731707317,0.031097560975609756,0.03635670731707317,0.03635670731707317,0.0234375,0.005259146341463415,0.0,0.0,0.021875,0.04375,0.04375,0.04375,0.021875,0.0,0.0,0.0,0.0,0.002896341463414634,0.005792682926829268,0.005792682926829268,0.005792682926829268,0.002896341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025914634146341465,0.005182926829268293,0.005182926829268293,0.005182926829268293,0.0025914634146341465,0.0,0.0,0.0,0.0,0.0,0.0,0.009222560975609756,0.022484756097560975,0.02652439024390244,0.02652439024390244,0.017301829268292684,0.0040396341463414635,0.0,0.0,0.0,0.0,0.002858231707317073,,
14,Aswaraopeta,,,0.021713917525773195,0.020940721649484535,0.01685996563573883,0.020274914089347076,0.014991408934707904,0.009707903780068729,0.006292955326460481,0.002878006872852234,0.008011168384879724,0.01799828178694158,0.0263745704467354,0.03163659793814433,0.028500859106529212,0.01877147766323024,0.010395189003436426,0.005133161512027491,0.0016967353951890035,0.0,0.0032216494845360823,0.036705326460481094,0.08586769759450172,0.11685996563573882,0.13640463917525772,0.11359536082474225,0.06443298969072164,0.03801546391752576,0.019823883161512026,0.009149484536082475,0.009149484536082475,0.009149484536082475,0.009149484536082475,0.009149484536082475,0.012371134020618558,0.011018041237113401,0.013552405498281787,0.02066151202749141,0.017439862542955327,0.014218213058419244,0.013530927835051547,0.012843642611683848,0.012843642611683848,0.012843642611683848,0.006421821305841924,0.002018900343642612,0.004037800687285224,0.005648625429553265,0.007259450171821306,0.005240549828178695,0.008311855670103093,0.011791237113402062,0.010180412371134021,0.010180412371134021,0.0050902061855670104,0.0,0.0,0.0024484536082474227,,
15,Burgampadu,,,0.027559523809523808,0.025595238095238095,0.025595238095238095,0.018273809523809522,0.005476190476190476,0.0,0.0030952380952380953,0.011071428571428572,0.015952380952380954,0.015952380952380954,0.021785714285714283,0.022738095238095238,0.017857142857142856,0.017857142857142856,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0036904761904761906,0.007380952380952381,0.007380952380952381,0.007380952380952381,0.01017857142857143,0.012976190476190476,0.012976190476190476,0.012976190476190476,0.006488095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009107142857142857,0.018214285714285714,0.018214285714285714,0.018214285714285714,0.009107142857142857,0.003511904761904762,0.007023809523809524,0.007023809523809524,0.007023809523809524,0.003511904761904762,,
16,Chandrugonda,,,0.02396551724137931,0.011982758620689656,0.0,0.021724137931034483,0.043448275862068966,0.043448275862068966,0.043448275862068966,0.021724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853448275862069,0.01706896551724138,0.01706896551724138,0.01706896551724138,0.00853448275862069,0.02732758620689655,0.0546551724137931,0.0546551724137931,0.0546551724137931,0.02732758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.026637931034482757,0.05879310344827586,0.1143103448275862,0.16431034482758622,0.14913793103448278,0.12844827586206897,0.07793103448275862,0.03293103448275862,0.02146551724137931,0.01,0.005,0.0,0.0,0.0,0.009310344827586208,0.018620689655172416,0.018620689655172416,0.018620689655172416,0.009310344827586208,0.0,0.0,0.0,0.0,0.0,,
17,Cherla,,,0.005636743215031315,0.009629436325678496,0.01706680584551148,0.020511482254697285,0.020511482254697285,0.013700417536534447,0.0034446764091858035,0.0,0.0,0.004879958246346556,0.0221294363256785,0.034498956158663885,0.04209290187891441,0.04480688935281837,0.02755741127348643,0.015187891440501042,0.007593945720250521,0.0,0.017197286012526097,0.034394572025052195,0.036090814196242174,0.037787056367432154,0.020589770354906056,0.0033924843423799585,0.0016962421711899792,0.0,0.003340292275574113,0.006680584551148226,0.015422755741127349,0.03361169102296451,0.039718162839248436,0.041805845511482254,0.03849164926931106,0.020302713987473905,0.010855949895615866,0.011430062630480166,0.02640918580375783,0.04900835073068893,0.05720250521920668,0.05120041753653445,0.030793319415448855,0.025652400835073072,0.03491649269311065,0.036012526096033406,0.03710855949895617,0.019650313152400838,0.0021920668058455117,0.0010960334029227559,0.0,0.0,0.00662839248434238,0.01325678496868476,0.01325678496868476,0.01325678496868476,0.00662839248434238,0.0,,
18,Chunchupally,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006847826086956521,0.013695652173913043,0.013695652173913043,0.013695652173913043,0.006847826086956521,0.0,0.014021739130434783,0.028043478260869566,0.028043478260869566,0.028043478260869566,0.014021739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19,Dammapeta,,,0.04011929460580913,0.039600622406639,0.04081950207468879,0.03651452282157676,0.02279564315352697,0.02435165975103734,0.023106846473029047,0.014574688796680498,0.014574688796680498,0.016364107883817428,0.022899377593360998,0.027645228215767637,0.027645228215767637,0.01856846473029046,0.0047458506224066395,0.0,0.0,0.0,0.0,0.0,0.0013226141078838173,0.0026452282157676346,0.0026452282157676346,0.0026452282157676346,0.005446058091286307,0.00824688796680498,0.00824688796680498,0.00824688796680498,0.00412344398340249,0.00391597510373444,0.00783195020746888,0.00783195020746888,0.00783195020746888,0.00391597510373444,0.015897302904564314,0.03179460580912863,0.03456950207468879,0.03734439834024896,0.02396265560165975,0.010580912863070538,0.007806016597510373,0.005031120331950207,0.0025155601659751035,0.007313278008298755,0.01462655601659751,0.01462655601659751,0.026945020746887968,0.031950207468879666,0.029693983402489625,0.03475103734439834,0.022432572614107884,0.010114107883817428,0.006405601659751037,0.0026970954356846473,0.0026970954356846473,0.0026970954356846473,,
