Date,place,fireCount
2017-06-09,Bhupalpalle,0.0
2017-06-10,Bhupalpalle,0.0
2017-06-11,Bhupalpalle,0.0
2017-06-12,Bhupalpalle,0.0
2017-06-13,Bhupalpalle,0.0
2017-06-14,Bhupalpalle,0.0
2017-06-15,Bhupalpalle,0.0
2017-06-16,Bhupalpalle,0.0
2017-06-17,Bhupalpalle,0.0
2017-06-18,Bhupalpalle,0.0
2017-06-19,Bhupalpalle,0.0
2017-06-20,Bhupalpalle,0.0
2017-06-21,Bhupalpalle,0.0
2017-06-22,Bhupalpalle,0.0
2017-06-23,Bhupalpalle,0.0
2017-06-24,Bhupalpalle,0.0
2017-06-25,Bhupalpalle,0.0
2017-06-26,Bhupalpalle,0.0
2017-06-27,Bhupalpalle,0.0
2017-06-28,Bhupalpalle,0.0
2017-06-29,Bhupalpalle,0.0
2017-06-30,Bhupalpalle,0.0
2017-07-01,Bhupalpalle,0.0
2017-07-02,Bhupalpalle,0.0
2017-07-03,Bhupalpalle,0.0
2017-07-04,Bhupalpalle,0.0
2017-07-05,Bhupalpalle,0.0
2017-07-06,Bhupalpalle,0.0
2017-07-07,Bhupalpalle,0.0
2017-07-08,Bhupalpalle,0.0
2017-07-09,Bhupalpalle,0.0
2017-07-10,Bhupalpalle,0.0
2017-07-11,Bhupalpalle,0.0
2017-07-12,Bhupalpalle,0.0
2017-07-13,Bhupalpalle,0.0
2017-07-14,Bhupalpalle,0.0
2017-07-15,Bhupalpalle,0.0
2017-07-16,Bhupalpalle,0.0
2017-07-17,Bhupalpalle,0.0
2017-07-18,Bhupalpalle,0.0
2017-07-19,Bhupalpalle,0.0
2017-07-20,Bhupalpalle,0.0
2017-07-21,Bhupalpalle,0.0
2017-07-22,Bhupalpalle,0.0
2017-07-23,Bhupalpalle,0.0
2017-07-24,Bhupalpalle,0.0
2017-07-25,Bhupalpalle,0.0
2017-07-26,Bhupalpalle,0.0
2017-07-27,Bhupalpalle,0.0
2017-07-28,Bhupalpalle,0.0
2017-07-29,Bhupalpalle,0.0
2017-07-30,Bhupalpalle,0.0
2017-07-31,Bhupalpalle,0.0
2017-08-01,Bhupalpalle,0.0
2017-08-02,Bhupalpalle,0.0
2017-08-03,Bhupalpalle,0.0
2017-08-04,Bhupalpalle,0.0
2017-08-05,Bhupalpalle,0.0
2017-08-06,Bhupalpalle,0.0
2017-08-07,Bhupalpalle,0.0
2017-08-08,Bhupalpalle,0.0
2017-08-09,Bhupalpalle,0.0
2017-08-10,Bhupalpalle,0.0
2017-08-11,Bhupalpalle,0.0
2017-08-12,Bhupalpalle,0.0
2017-08-13,Bhupalpalle,0.0
2017-08-14,Bhupalpalle,0.0
2017-08-15,Bhupalpalle,0.0
2017-08-16,Bhupalpalle,0.0
2017-08-17,Bhupalpalle,0.0
2017-08-18,Bhupalpalle,0.0
2017-08-19,Bhupalpalle,0.0
2017-08-20,Bhupalpalle,0.0
2017-08-21,Bhupalpalle,0.0
2017-08-22,Bhupalpalle,0.0
2017-08-23,Bhupalpalle,0.0
2017-08-24,Bhupalpalle,0.0
2017-08-25,Bhupalpalle,0.0
2017-08-26,Bhupalpalle,0.0
2017-08-27,Bhupalpalle,0.0
2017-08-28,Bhupalpalle,0.0
2017-08-29,Bhupalpalle,0.0
2017-08-30,Bhupalpalle,0.0
2017-08-31,Bhupalpalle,0.0
2017-09-01,Bhupalpalle,0.0
2017-09-02,Bhupalpalle,0.0
2017-09-03,Bhupalpalle,0.0
2017-09-04,Bhupalpalle,0.0
2017-09-05,Bhupalpalle,0.0
2017-09-06,Bhupalpalle,0.0
2017-09-07,Bhupalpalle,0.0
2017-09-08,Bhupalpalle,0.0
2017-09-09,Bhupalpalle,0.0
2017-09-10,Bhupalpalle,0.0
2017-09-11,Bhupalpalle,0.0
2017-09-12,Bhupalpalle,0.0
2017-09-13,Bhupalpalle,0.0
2017-09-14,Bhupalpalle,0.0
2017-09-15,Bhupalpalle,0.0
2017-09-16,Bhupalpalle,0.0
2017-09-17,Bhupalpalle,0.0
2017-09-18,Bhupalpalle,0.0
2017-09-19,Bhupalpalle,0.0
2017-09-20,Bhupalpalle,0.0
2017-09-21,Bhupalpalle,0.0
2017-09-22,Bhupalpalle,0.0
2017-09-23,Bhupalpalle,0.0
