Date,place,fireCount
2017-07-07,Jagtial,0.0
2017-07-08,Jagtial,0.0
2017-07-09,Jagtial,0.0
2017-07-10,Jagtial,0.0
2017-07-11,Jagtial,0.0
2017-07-12,Jagtial,0.0
2017-07-13,Jagtial,0.0
2017-07-14,Jagtial,0.0
2017-07-15,Jagtial,0.0
2017-07-16,Jagtial,0.0
2017-07-17,Jagtial,0.0
2017-07-18,Jagtial,0.0
2017-07-19,Jagtial,0.0
2017-07-20,Jagtial,0.0
2017-07-21,Jagtial,0.0
2017-07-22,Jagtial,0.0
2017-07-23,Jagtial,0.0
2017-07-24,Jagtial,0.0
2017-07-25,Jagtial,0.0
2017-07-26,Jagtial,0.0
2017-07-27,Jagtial,0.0
2017-07-28,Jagtial,0.0
2017-07-29,Jagtial,0.0
2017-07-30,Jagtial,0.0
2017-07-31,Jagtial,0.0
2017-08-01,Jagtial,0.0
2017-08-02,Jagtial,0.0
2017-08-03,Jagtial,0.0
2017-08-04,Jagtial,0.0
2017-08-05,Jagtial,0.0
2017-08-06,Jagtial,0.0
2017-08-07,Jagtial,0.0
2017-08-08,Jagtial,0.0
2017-08-09,Jagtial,0.0
2017-08-10,Jagtial,0.0
2017-08-11,Jagtial,0.0
2017-08-12,Jagtial,0.0
2017-08-13,Jagtial,0.0
2017-08-14,Jagtial,0.0
2017-08-15,Jagtial,0.0
2017-08-16,Jagtial,0.0
2017-08-17,Jagtial,0.0
2017-08-18,Jagtial,0.0
2017-08-19,Jagtial,0.0
2017-08-20,Jagtial,0.0
2017-08-21,Jagtial,0.0
2017-08-22,Jagtial,0.0
2017-08-23,Jagtial,0.0
2017-08-24,Jagtial,0.0
2017-08-25,Jagtial,0.0
2017-08-26,Jagtial,0.0
2017-08-27,Jagtial,0.0
2017-08-28,Jagtial,0.0
2017-08-29,Jagtial,0.0
2017-08-30,Jagtial,0.0
2017-08-31,Jagtial,0.0
2017-09-01,Jagtial,0.0
2017-09-02,Jagtial,1.0
2017-09-03,Jagtial,0.0
2017-09-04,Jagtial,0.0
2017-09-05,Jagtial,0.0
2017-09-06,Jagtial,0.0
2017-09-07,Jagtial,0.0
2017-09-08,Jagtial,0.0
2017-09-09,Jagtial,0.0
2017-09-10,Jagtial,0.0
2017-09-11,Jagtial,0.0
2017-09-12,Jagtial,0.0
2017-09-13,Jagtial,0.0
2017-09-14,Jagtial,0.0
2017-09-15,Jagtial,0.0
2017-09-16,Jagtial,0.0
2017-09-17,Jagtial,0.0
2017-09-18,Jagtial,0.0
2017-09-19,Jagtial,0.0
2017-09-20,Jagtial,0.0
2017-09-21,Jagtial,0.0
2017-09-22,Jagtial,0.0
2017-09-23,Jagtial,0.0
2017-09-24,Jagtial,0.0
2017-09-25,Jagtial,0.0
2017-09-26,Jagtial,0.0
2017-09-27,Jagtial,0.0
2017-09-28,Jagtial,0.0
2017-09-29,Jagtial,0.0
2017-09-30,Jagtial,0.0
2017-10-01,Jagtial,0.0
2017-10-02,Jagtial,0.0
2017-10-03,Jagtial,0.0
2017-10-04,Jagtial,0.0
2017-10-05,Jagtial,0.0
2017-10-06,Jagtial,0.0
2017-10-07,Jagtial,0.0
2017-10-08,Jagtial,0.0
2017-10-09,Jagtial,0.0
2017-10-10,Jagtial,0.0
2017-10-11,Jagtial,0.0
2017-10-12,Jagtial,0.0
2017-10-13,Jagtial,0.0
2017-10-14,Jagtial,0.0
2017-10-15,Jagtial,0.0
2017-10-16,Jagtial,0.0
2017-10-17,Jagtial,0.0
2017-10-18,Jagtial,0.0
2017-10-19,Jagtial,0.0
2017-10-20,Jagtial,0.0
2017-10-21,Jagtial,0.0
2017-10-22,Jagtial,0.0
2017-10-23,Jagtial,0.0
2017-10-24,Jagtial,0.0
2017-10-25,Jagtial,0.0
2017-10-26,Jagtial,0.0
2017-10-27,Jagtial,0.0
2017-10-28,Jagtial,0.0
2017-10-29,Jagtial,0.0
2017-10-30,Jagtial,1.0
2017-10-31,Jagtial,0.0
2017-11-01,Jagtial,0.0
2017-11-02,Jagtial,0.0
2017-11-03,Jagtial,0.0
2017-11-04,Jagtial,0.0
2017-11-05,Jagtial,0.0
2017-11-06,Jagtial,0.0
2017-11-07,Jagtial,4.0
2017-11-08,Jagtial,0.0
2017-11-09,Jagtial,1.0
2017-11-10,Jagtial,2.0
2017-11-11,Jagtial,1.0
2017-11-12,Jagtial,1.0
2017-11-13,Jagtial,0.0
2017-11-14,Jagtial,0.0
2017-11-15,Jagtial,2.0
2017-11-16,Jagtial,0.0
2017-11-17,Jagtial,2.0
2017-11-18,Jagtial,1.0
2017-11-19,Jagtial,0.0
2017-11-20,Jagtial,10.0
2017-11-21,Jagtial,4.0
2017-11-22,Jagtial,4.0
2017-11-23,Jagtial,0.0
2017-11-24,Jagtial,3.0
2017-11-25,Jagtial,10.0
2017-11-26,Jagtial,25.0
2017-11-27,Jagtial,10.0
2017-11-28,Jagtial,6.0
2017-11-29,Jagtial,1.0
2017-11-30,Jagtial,8.0
2017-12-01,Jagtial,16.0
2017-12-02,Jagtial,14.0
2017-12-03,Jagtial,6.0
2017-12-04,Jagtial,1.0
2017-12-05,Jagtial,0.0
2017-12-06,Jagtial,7.0
2017-12-07,Jagtial,11.0
2017-12-08,Jagtial,10.0
2017-12-09,Jagtial,8.0
2017-12-10,Jagtial,5.0
2017-12-11,Jagtial,7.0
