,index,Dist_Name,Mandal_Nam,Year,Bengal Gram,Castor,Chillies,Cotton,Green Gram,Groundnut,Jowar,Maize,Onion,Paddy,Red Gram,Sesamum,Soyabean,Sugarcane,Sunflower,Kharif,Rabi
47,8,Siddipet,Akkannapet,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48,8,Siddipet,Akkannapet,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,8,Siddipet,Akkannapet,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,8,Siddipet,Akkannapet,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,8,Siddipet,Akkannapet,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
53,9,Yadadri Bhuvanagiri,Alair,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,9,Yadadri Bhuvanagiri,Alair,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,9,Yadadri Bhuvanagiri,Alair,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56,9,Yadadri Bhuvanagiri,Alair,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57,9,Yadadri Bhuvanagiri,Alair,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
58,9,Yadadri Bhuvanagiri,Alair,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
59,10,Jogulamba Gadwal,Alampur,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
60,10,Jogulamba Gadwal,Alampur,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,10,Jogulamba Gadwal,Alampur,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,10,Jogulamba Gadwal,Alampur,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,10,Jogulamba Gadwal,Alampur,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,11,Medak,Alladurg,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
65,11,Medak,Alladurg,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66,11,Medak,Alladurg,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
67,11,Medak,Alladurg,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,11,Medak,Alladurg,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
69,11,Medak,Alladurg,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,12,Bhadradri Kothagudem,Allapalli,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
71,12,Bhadradri Kothagudem,Allapalli,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,12,Bhadradri Kothagudem,Allapalli,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,12,Bhadradri Kothagudem,Allapalli,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,14,Rangareddy,Amangal,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
75,14,Rangareddy,Amangal,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,14,Rangareddy,Amangal,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
77,14,Rangareddy,Amangal,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
78,14,Rangareddy,Amangal,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
79,14,Rangareddy,Amangal,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
81,15,Wanaparthy,Amarchintha,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
82,15,Wanaparthy,Amarchintha,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,15,Wanaparthy,Amarchintha,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
84,15,Wanaparthy,Amarchintha,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85,15,Wanaparthy,Amarchintha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
86,18,Nagarkurnool,Amrabad,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
87,18,Nagarkurnool,Amrabad,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
88,18,Nagarkurnool,Amrabad,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
89,18,Nagarkurnool,Amrabad,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90,18,Nagarkurnool,Amrabad,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
91,18,Nagarkurnool,Amrabad,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,19,Suryapet,Ananthagiri,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
93,19,Suryapet,Ananthagiri,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
94,19,Suryapet,Ananthagiri,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
95,19,Suryapet,Ananthagiri,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
96,19,Suryapet,Ananthagiri,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
97,19,Suryapet,Ananthagiri,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
98,20,Sangareddy,Andole,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
99,20,Sangareddy,Andole,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,20,Sangareddy,Andole,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
101,20,Sangareddy,Andole,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
102,21,Bhadradri Kothagudem,Annapureddipalle,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
103,21,Bhadradri Kothagudem,Annapureddipalle,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
104,21,Bhadradri Kothagudem,Annapureddipalle,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
105,21,Bhadradri Kothagudem,Annapureddipalle,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
106,22,Nalgonda,Anumula_Haliya,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
107,22,Nalgonda,Anumula_Haliya,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
108,22,Nalgonda,Anumula_Haliya,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
109,22,Nalgonda,Anumula_Haliya,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110,22,Nalgonda,Anumula_Haliya,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
111,22,Nalgonda,Anumula_Haliya,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
112,23,Nizamabad,Armoor,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
113,23,Nizamabad,Armoor,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
114,23,Nizamabad,Armoor,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
115,23,Nizamabad,Armoor,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
116,23,Nizamabad,Armoor,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,23,Nizamabad,Armoor,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,24,Kumurambheem Asifabad,Asifabad,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
120,24,Kumurambheem Asifabad,Asifabad,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
121,24,Kumurambheem Asifabad,Asifabad,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
122,24,Kumurambheem Asifabad,Asifabad,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,24,Kumurambheem Asifabad,Asifabad,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
124,24,Kumurambheem Asifabad,Asifabad,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,26,Bhadradri Kothagudem,Aswapuram,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
126,26,Bhadradri Kothagudem,Aswapuram,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
127,26,Bhadradri Kothagudem,Aswapuram,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
128,26,Bhadradri Kothagudem,Aswapuram,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
129,26,Bhadradri Kothagudem,Aswapuram,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,26,Bhadradri Kothagudem,Aswapuram,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
131,27,Bhadradri Kothagudem,Aswaraopeta,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132,27,Bhadradri Kothagudem,Aswaraopeta,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
133,27,Bhadradri Kothagudem,Aswaraopeta,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
134,27,Bhadradri Kothagudem,Aswaraopeta,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
135,27,Bhadradri Kothagudem,Aswaraopeta,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
136,27,Bhadradri Kothagudem,Aswaraopeta,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
137,28,Yadadri Bhuvanagiri,Athmakur (M),2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
138,28,Yadadri Bhuvanagiri,Athmakur (M),2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
