,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,ModifiedDateTime
0,2015-02-01,58.435483870967744,45.57692307692308,29.63157894736842,47.351351351351354,36.84848484848485,43.44444444444444,42.89473684210526,43.96666666666667,57.65625,40.32,22.176470588235293,27.0,38.65625,38.23529411764706,63.22222222222222,38.125,39.416666666666664,36.793103448275865,37.51724137931034,23.166666666666668,37.59090909090909,35.7,30.642857142857142,32.85,23.095238095238095,31.341463414634145,38.42857142857143,46.55555555555556,34.93939393939394,54.5,43.114285714285714,48.791666666666664,26.5,2015-02-01
1,2015-03-01,62.82258064516129,48.34615384615385,33.473684210526315,62.54054054054054,37.18181818181818,41.05555555555556,38.973684210526315,40.43333333333333,65.40625,38.88,26.901960784313726,29.375,39.75,35.61764705882353,61.833333333333336,37.8125,41.22222222222222,37.275862068965516,38.793103448275865,28.166666666666668,39.09090909090909,37.7,36.0,36.85,29.61904761904762,37.21951219512195,39.285714285714285,48.666666666666664,39.121212121212125,51.5,53.17142857142857,56.208333333333336,34.69230769230769,2015-03-01
2,2015-04-01,40.04838709677419,42.69230769230769,34.89473684210526,32.32432432432432,35.45454545454545,38.77777777777778,36.94736842105263,34.13333333333333,57.1875,35.96,33.01960784313726,32.8125,38.4375,36.911764705882355,58.44444444444444,39.0625,36.333333333333336,37.10344827586207,39.758620689655174,34.111111111111114,35.90909090909091,38.8,36.25,45.0,37.23809523809524,40.146341463414636,39.035714285714285,50.77777777777778,37.42424242424242,57.0,47.48571428571429,41.958333333333336,36.61538461538461,2015-04-01
3,2015-05-01,47.903225806451616,50.23076923076923,40.10526315789474,40.567567567567565,39.78787878787879,51.27777777777778,44.94736842105263,44.5,66.09375,37.72,34.470588235294116,42.0,41.9375,43.705882352941174,72.83333333333333,43.125,35.611111111111114,38.62068965517241,37.93103448275862,39.44444444444444,48.13636363636363,45.3,42.92857142857143,39.75,39.23809523809524,44.31707317073171,47.92857142857143,47.22222222222222,46.0,52.5,49.57142857142857,54.0,38.73076923076923,2015-05-01
4,2015-06-01,28.467741935483872,31.846153846153847,24.736842105263158,33.08108108108108,26.96969696969697,34.27777777777778,31.342105263157894,35.56666666666667,45.65625,28.92,25.470588235294116,31.109375,27.53125,29.41176470588235,49.833333333333336,24.5625,25.36111111111111,23.275862068965516,32.172413793103445,28.055555555555557,33.77272727272727,32.4,28.071428571428573,27.75,29.857142857142858,29.75609756097561,37.642857142857146,29.11111111111111,30.060606060606062,38.0,29.914285714285715,40.458333333333336,26.423076923076923,2015-06-01
5,2015-07-01,23.870967741935484,20.53846153846154,15.894736842105264,25.405405405405407,15.727272727272727,22.22222222222222,22.42105263157895,17.533333333333335,21.78125,14.28,17.470588235294116,21.96875,22.53125,15.852941176470589,25.833333333333332,17.8125,15.722222222222221,17.413793103448278,14.931034482758621,20.944444444444443,23.09090909090909,24.5,18.821428571428573,17.05,17.761904761904763,17.024390243902438,23.464285714285715,20.22222222222222,21.272727272727273,17.0,21.65714285714286,26.041666666666668,16.192307692307693,2015-07-01
6,2015-08-01,29.35483870967742,23.153846153846153,23.68421052631579,26.7027027027027,20.454545454545453,23.444444444444443,24.026315789473685,17.633333333333333,38.9375,18.4,19.764705882352942,27.21875,14.0,18.441176470588236,41.5,17.375,17.444444444444443,25.137931034482758,21.689655172413794,19.5,23.09090909090909,18.1,23.964285714285715,20.35,20.904761904761905,22.975609756097562,29.107142857142858,28.555555555555557,16.757575757575758,27.0,24.62857142857143,34.75,22.03846153846154,2015-08-01
7,2015-09-01,31.677419354838708,25.923076923076923,20.31578947368421,23.89189189189189,23.545454545454547,28.833333333333332,24.42105263157895,18.9,34.5,25.6,22.41176470588235,22.21875,22.8125,22.61764705882353,43.94444444444444,24.75,21.916666666666668,26.689655172413794,26.275862068965516,25.666666666666668,22.045454545454547,23.1,24.857142857142858,25.7,29.238095238095237,30.170731707317074,24.964285714285715,30.88888888888889,19.545454545454547,36.5,23.37142857142857,34.75,24.73076923076923,2015-09-01
8,2015-10-01,40.54838709677419,44.69230769230769,33.63157894736842,29.64864864864865,34.54545454545455,44.166666666666664,38.68421052631579,30.566666666666666,49.375,34.4,24.627450980392158,29.15625,33.28125,31.58823529411765,65.88888888888889,34.3125,32.611111111111114,32.58620689655172,35.793103448275865,29.944444444444443,30.863636363636363,35.1,33.67857142857143,33.75,26.857142857142858,33.707317073170735,37.142857142857146,35.666666666666664,34.878787878787875,43.0,39.91428571428571,37.625,30.846153846153847,2015-10-01
9,2015-11-01,43.16129032258065,44.23076923076923,30.63157894736842,29.18918918918919,42.121212121212125,48.388888888888886,48.473684210526315,38.7,42.3125,39.0,26.686274509803923,38.90625,36.875,39.64705882352941,62.22222222222222,46.25,38.916666666666664,35.689655172413794,38.172413793103445,30.555555555555557,34.63636363636363,37.1,33.535714285714285,34.8,30.047619047619047,39.51219512195122,46.57142857142857,41.666666666666664,40.333333333333336,50.0,33.371428571428574,35.333333333333336,34.57692307692308,2015-11-01
10,2015-12-01,48.38709677419355,53.5,32.31578947368421,31.64864864864865,39.0,54.05555555555556,42.078947368421055,37.166666666666664,56.625,39.84,26.92156862745098,33.046875,42.84375,43.794117647058826,69.72222222222223,44.6875,40.44444444444444,40.03448275862069,41.241379310344826,30.22222222222222,35.54545454545455,37.4,34.0,37.2,31.80952380952381,35.8780487804878,44.642857142857146,48.44444444444444,48.27272727272727,60.0,42.34285714285714,39.25,29.576923076923077,2015-12-01
