x,y,z
74.00138153,21.87317794,4.1886263
74.11620136,21.87317794,3.0913982
74.23102119,21.87317794,3.0913982
74.34584102,21.87317794,4.527487
74.46066085,21.87317794,6.681919
73.88656169,21.75835811,4.1983986
74.00138153,21.75835811,3.4519126
74.11620136,21.75835811,2.9270973
74.23102119,21.75835811,2.9270973
74.34584102,21.75835811,3.950414
74.46066085,21.75835811,5.9780345
77.44597648,21.75835811,2.3288963
73.88656169,21.64353827,6.3343744
74.00138153,21.64353827,2.7214613
74.11620136,21.64353827,3.6369252
74.23102119,21.64353827,3.6369252
74.34584102,21.64353827,5.373719
74.46066085,21.64353827,2.6082983
74.57548068,21.64353827,2.5558934
76.98669715,21.64353827,2.4893095
77.10151698,21.64353827,2.7004547
77.21633681,21.64353827,2.257778
77.33115665,21.64353827,2.257778
77.44597648,21.64353827,2.6253686
77.56079631,21.64353827,2.3877237
79.16827395,21.64353827,1.7824562
79.28309378,21.64353827,1.7824562
79.39791362,21.64353827,2.54
73.88656169,21.52871844,3.9429283
74.34584102,21.52871844,4.7494097
74.46066085,21.52871844,3.0086331
74.57548068,21.52871844,3.386518
74.69030052,21.52871844,3.4821696
74.80512035,21.52871844,3.4821696
74.91994018,21.52871844,2.6730938
75.03476001,21.52871844,2.4152517
76.87187732,21.52871844,2.2620819
76.98669715,21.52871844,2.3228943
77.10151698,21.52871844,2.2698784
77.21633681,21.52871844,2.257778
77.33115665,21.52871844,2.257778
78.2497153,21.52871844,2.9292173
78.36453513,21.52871844,3.1423867
78.93863429,21.52871844,3.2339501
79.05345412,21.52871844,2.71815
79.16827395,21.52871844,2.71815
79.28309378,21.52871844,3.3264742
79.39791362,21.52871844,2.9806623
79.51273345,21.52871844,3.259831
79.62755328,21.52871844,3.1446788
79.74237311,21.52871844,3.4315019
79.85719294,21.52871844,3.4315019
79.97201277,21.52871844,2.6945894
80.08683261,21.52871844,2.54
80.20165244,21.52871844,2.8079023
80.31647227,21.52871844,2.5818815
74.11620136,21.41389861,3.3903666
74.23102119,21.41389861,3.3903666
74.34584102,21.41389861,3.5224438
74.46066085,21.41389861,6.893429
74.57548068,21.41389861,4.7397895
74.69030052,21.41389861,2.5407228
74.80512035,21.41389861,2.5407228
74.91994018,21.41389861,3.0458517
75.03476001,21.41389861,3.307416
75.14957984,21.41389861,2.4190476
76.75705749,21.41389861,3.2827072
76.87187732,21.41389861,2.4603305
76.98669715,21.41389861,3.2346363
77.10151698,21.41389861,2.4085598
77.21633681,21.41389861,6.5727363
77.33115665,21.41389861,6.5727363
77.44597648,21.41389861,2.9749806
78.02007564,21.41389861,3.6439977
78.13489547,21.41389861,3.1829526
78.2497153,21.41389861,3.1533713
78.36453513,21.41389861,2.7425933
78.47935496,21.41389861,2.2364798
78.59417479,21.41389861,2.2364798
78.70899463,21.41389861,1.7824562
78.82381446,21.41389861,2.6411018
78.93863429,21.41389861,2.54
